year,dist_name,dist_code,enrollment,size,attendance_rate,reduced_share,free_share,lunch_share,homeless_share,graduation_rate,act_composite,act_writing,local_revenue,all_revenue,tcec,tec,tdc,rev_cost_ratio
2023,Elkhorn Area,1638,3490,Medium,0.9659,0.07955,0.33001,0.40956,0.01203,0.96811,19.23,5.55,NA,NA,NA,NA,NA,NA
2023,Elk Mound Area,1645,1196,Medium,0.94968,0.04944,0.3131,0.36253,0.00251,0.98857,20.51,7.21,NA,NA,NA,NA,NA,NA
2023,Ellsworth Community,1659,1620,Medium,0.9431,0.06434,0.27941,0.34375,0.01481,0.98093,19.21,6.52,NA,NA,NA,NA,NA,NA
2023,Elmwood,1666,325,Small,0.94859,0.11392,0.31013,0.42405,0.00923,0.95327,22.25,6.3,NA,NA,NA,NA,NA,NA
2023,Royall,1673,451,Small,0.95431,0.07285,0.41722,0.49007,0.00887,0.94375,17.5,5.51,NA,NA,NA,NA,NA,NA
2023,Erin,1687,408,Small,0.95471,0.02381,0.1119,0.13571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,Evansville Community,1694,1697,Medium,0.93497,0.0461,0.21572,0.26182,0.00707,0.97307,19.89,6.8,NA,NA,NA,NA,NA,NA
2023,Fall Creek,1729,906,Small,0.94577,0.06445,0.20838,0.27282,0.00221,0.96861,21.84,7.26,NA,NA,NA,NA,NA,NA
2023,Fall River,1736,496,Small,0.95624,0.10311,0.23735,0.34047,NA,1,18.62,6.94,NA,NA,NA,NA,NA,NA
2023,Fennimore Community,1813,836,Small,0.95229,0.06555,0.38617,0.45173,0.01435,0.99099,19.06,7.21,NA,NA,NA,NA,NA,NA
2023,Lac du Flambeau #1,1848,488,Small,0.90233,0,1,1,0.10041,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,Florence County,1855,381,Small,0.95127,0.06842,0.42895,0.49737,NA,0.95868,20.08,6.87,NA,NA,NA,NA,NA,NA
2023,Fond du Lac,1862,6419,Large,0.92761,0.05303,0.48832,0.54135,0.02461,0.92018,19.1,6.28,NA,NA,NA,NA,NA,NA
2023,Fontana J8,1870,203,Small,0.95434,0.03518,0.21608,0.25126,0.03941,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,Fort Atkinson,1883,2357,Medium,0.94121,0.06361,0.35187,0.41548,0.03097,0.95877,20.47,6.83,NA,NA,NA,NA,NA,NA
2023,Fox Point J2,1890,822,Small,0.9521,0.00825,0.07783,0.08608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,Maple Dale-Indian Hill,1897,424,Small,0.95119,0.03061,0.14796,0.17857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,Franklin Public,1900,4721,Medium,0.94566,0.02948,0.21104,0.24052,0.00148,0.92053,21.34,7.22,NA,NA,NA,NA,NA,NA
2023,Frederic,1939,415,Small,0.92093,0.12184,0.42529,0.54713,0.03133,0.93651,16.59,4.9,NA,NA,NA,NA,NA,NA
2023,Northern Ozaukee,1945,1083,Medium,0.94938,0.05452,0.23386,0.28838,0.00554,0.9728,20.11,6.49,NA,NA,NA,NA,NA,NA
2023,Freedom Area,1953,1539,Medium,0.94254,0.04667,0.178,0.22467,NA,0.98635,20.76,6.65,NA,NA,NA,NA,NA,NA
2023,Galesville-Ettrick-Trempealeau,2009,1369,Medium,0.94635,0.07205,0.23799,0.31004,0.01096,0.9717,20.38,6.33,NA,NA,NA,NA,NA,NA
2023,North Crawford,2016,421,Small,0.95263,0.09602,0.47775,0.57377,0.02375,0.92361,18.42,6.23,NA,NA,NA,NA,NA,NA
2023,Geneva J4,2044,150,Small,0.94098,0.0411,0.29452,0.33562,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,Genoa City J2,2051,456,Small,0.92794,NA,NA,NA,0.00877,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,Germantown,2058,3816,Medium,0.95197,0.03102,0.13252,0.16354,0.00236,0.97523,21.78,7.09,NA,NA,NA,NA,NA,NA
2023,Gibraltar Area,2114,533,Small,0.94259,0.06331,0.27002,0.33333,NA,0.94798,22.04,7.29,NA,NA,NA,NA,NA,NA
2023,Gillett,2128,572,Small,0.94574,0.09578,0.49675,0.59253,0.01923,0.93491,18.31,5.41,NA,NA,NA,NA,NA,NA
2023,Gilman,2135,336,Small,0.96621,0.14777,0.33677,0.48454,0.029760000000000002,0.87755,16.81,6.29,NA,NA,NA,NA,NA,NA
2023,Gilmanton,2142,130,Small,0.92613,0.08871,0.41935,0.50806,0.04615,0.98,16.5,4.5,NA,NA,NA,NA,NA,NA
2023,Nicolet Union High School,2177,1054,Medium,0.96708,0.0282,0.18985,0.21805,0.00949,0.98183,22.81,7.23,NA,NA,NA,NA,NA,NA
2023,Glendale-River Hills,2184,963,Small,0.94342,0.02596,0.14992,0.17588,0.01661,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,Glenwood City,2198,653,Small,0.9397,0.07111,0.34222,0.41333,0.00459,0.92265,21.07,7.16,NA,NA,NA,NA,NA,NA
2023,Goodman-Armstrong Creek,2212,71,Small,0.92098,0.08451,0.52113,0.60563,0.05634,0.97143,19.73,6.55,NA,NA,NA,NA,NA,NA
